big,small,arrival_time,cpu,mem,disk,lifetime,profit
0,1,0.6707781100720119,1,3,21,2.2354306069775745,4.240468255227758
0,1,1.567308062702148,1,2,22,1.0275669518038084,3.9724902994297073
0,1,1.5864373784001014,1,3,20,2.3306768664398456,3.221497012083275
0,1,1.759328143254149,1,2,20,2.494223847673929,3.168942328184019
0,1,1.861437467616829,3,3,22,3.119776077479251,4.000756859198366
0,1,1.9307168204629241,1,2,21,2.0481111046603515,3.726435809881881
0,1,1.9475808184156735,1,2,19,3.103115637761351,3.919060023478615
0,1,2.520583920138334,1,2,22,2.499012929273417,3.05703749132769
0,1,2.5706722531942465,1,2,21,1.5725854798184984,3.912375374292406
0,1,2.6913726959138384,2,2,23,3.1524059181729216,4.799859808839464
0,1,2.8606924896011425,2,3,19,3.677870706744414,3.094832620598092
0,1,2.870747801487203,2,3,19,2.1784996981298907,3.4140664477520097
0,1,3.4671149460753385,2,4,19,3.1730861472263316,3.035781494457976
0,1,4.048625209787403,2,2,20,2.000423739775882,4.72956399994622
0,1,4.148753933147169,1,3,21,3.0683109126389594,4.864580126326937
0,1,4.535717776259279,2,1,19,1.8367283337794835,4.293587597115187
0,1,4.706478916246358,1,3,20,1.1673664627860436,4.049086772947362
0,1,4.8167360269208075,2,5,20,3.0681877193009406,4.767599936901764
0,1,5.295521512719643,3,3,21,3.097740761533666,3.377218562788851
0,1,5.550045716218775,2,3,23,2.7470483653491486,4.67351178445146
0,1,5.624939283704596,2,3,21,3.163314261974159,4.636583252830657
0,1,5.740940195553389,3,4,21,3.7222666381524996,4.166625158504045
0,1,6.055341720830091,2,2,21,1.9292167849132493,3.1043765988662644
0,1,6.114639330562406,1,3,20,1.5306582025114004,3.6183586759993465
0,1,6.353068832203084,2,1,23,1.3673777633818813,4.80741576024503
0,1,6.388149653429112,1,2,21,3.7977196697002715,4.129548654006187
0,1,6.871539529978778,2,4,21,1.7120748296259458,3.070173636826911
0,1,7.237467117740003,1,4,21,3.9578882472137407,3.435613187617177
0,1,7.879938525147071,1,3,23,2.267517755003876,4.921215733655489
0,1,8.123262064500583,4,3,21,2.364827524499138,4.7800805511168765
0,1,8.151861105676478,1,2,21,1.6663881740773405,3.846951504418456
0,1,8.181692586362583,1,3,20,2.7200591750558476,3.798548071940951
0,1,8.41591266424972,2,2,20,1.2294438804964716,3.7895647413320197
0,1,8.536269382840954,1,2,22,2.0568945646301566,3.5628006957893685
0,1,8.638422866145596,2,1,20,3.5115610984500836,3.6505751294143716
0,1,9.063148387062881,2,3,20,2.0165212403213175,3.5627021464380664
0,1,10.375429498510346,2,2,21,3.434393364458527,3.586938445222425
0,1,10.644378923759152,1,3,21,3.0663339347689034,4.935886695018081
0,1,10.959144314750498,1,3,22,2.73157660482432,4.6805709249852505
0,1,11.241388781389203,1,2,19,3.7486970696116666,4.998944637783066
0,1,11.317300592974263,2,2,20,3.3693200192938737,3.07582382293507
