big,small,arrival_time,cpu,mem,disk,lifetime,profit
0,1,0.14034716695605393,3,3,20,1.8383273954890362,3.309182877134427
0,1,0.7366833070636636,1,2,21,3.7512864283367797,4.242916099390557
0,1,0.8505214294983215,2,2,19,2.471331741354495,3.657685591146908
0,1,0.9056107304059999,2,1,20,2.9507620919614457,3.6880819195539
0,1,1.1729522330860884,1,2,21,2.2845036882833742,3.9672409276133305
0,1,1.5552801357310062,1,3,21,3.7430072896672915,3.4422925982986383
0,1,1.923226112226863,1,3,21,1.4547172669997526,4.632551872615667
0,1,2.0712630042206674,2,5,19,2.1498883849953208,3.69805069522302
0,1,2.1258260320434013,1,2,20,1.356637681506943,3.5514549759910023
0,1,2.250548992637561,2,1,20,3.7308241987345063,3.686617350174017
0,1,2.2850837657872223,2,3,19,1.460981656596827,3.2062169521183153
0,1,2.414685215206346,1,2,19,1.9453454353099793,4.7133256766512694
0,1,2.488071284792189,1,5,20,3.45288264384187,4.446682402582117
0,1,2.5372806776909305,1,2,18,1.6370106054822715,4.519831345500515
0,1,3.0150161596205227,2,3,20,2.4497486706955205,4.307701858303066
0,1,3.43790741436299,3,3,21,2.654228466871961,3.1940360757398265
0,1,3.4876358291026652,1,2,21,3.2726345674435855,4.212178439811386
0,1,3.9264876204015757,2,2,21,2.427964529639138,4.340689424319889
0,1,4.146868501958498,2,2,20,1.718496446943579,3.971903075819111
0,1,4.297298196166679,3,2,19,1.7995576155605901,3.924582417353263
0,1,4.670784823422391,2,1,19,3.355655051933417,3.276091785211082
0,1,6.764708398468469,1,2,21,1.9670674929566925,3.8762310389798005
0,1,6.943452452692842,3,2,21,1.4895306326925846,3.948668431906447
0,1,7.227889351658364,2,1,20,3.35538895733415,3.1149460867967695
0,1,7.380914494636161,2,3,18,2.6320736664207454,4.222115046558221
0,1,7.451212974836369,1,3,21,1.667292395391838,4.53984391943554
0,1,7.468311153028921,4,3,20,3.381939078720009,4.53018461141809
0,1,8.074452248135788,1,3,21,1.0029939921514828,3.911586108628938
0,1,8.542169414340822,1,2,21,1.2205646010792948,4.611222533438756
0,1,8.762753080368988,1,1,21,3.665319462699313,4.374240319358158
0,1,8.864227415833433,1,2,20,3.0581048112153875,3.1669441398081486
0,1,9.49535288272681,3,2,20,3.573277686980441,3.8545123223918534
0,1,10.217101810914357,1,3,21,3.3516647722440656,3.26587702755716
0,1,10.28333185705917,2,2,23,1.9475164453316947,3.6778161841232464
0,1,10.39379020258902,1,3,19,2.56472379269738,4.480461703416437
0,1,10.700383274643649,1,3,20,1.6487358785462458,4.702315103995466
0,1,11.31580130012589,2,1,20,2.369824556373106,4.928147193242573
0,1,11.381291511882928,2,2,22,1.9325705925644772,4.318735608372634
0,1,11.895671984237447,2,2,20,3.1527823912593833,4.268340662025006
0,1,12.081163465117848,1,4,21,2.382065210505439,3.239977502062536
0,1,12.300159350826165,1,3,20,2.127102844341745,3.1156458976827905
0,1,12.374548962781978,2,1,21,1.4734184427122603,3.366425891192846
0,1,13.17247254356829,2,3,20,1.0479762125417267,3.1558123167335355
0,1,13.64540261411847,2,2,20,2.554730516568879,3.72817020052264
0,1,13.670662804519754,2,4,19,3.4666017149367354,4.630607332693899
0,1,13.828950749248854,1,2,19,2.439851535602969,4.042761353861212
0,1,14.490790908427728,3,2,21,2.4802376448693035,4.740608063517049
0,1,15.100981668804652,2,3,21,1.4835974146038908,3.791582700140345
0,1,15.275788503916907,4,2,21,3.696894303650131,4.1502514357691425
0,1,15.346438383931147,1,1,21,3.696751260405062,4.690997132811119
0,1,15.382281029495322,2,4,22,1.959536189918679,4.850465980249812
0,1,15.789195934955885,1,1,20,3.5495805126406452,4.090722157048295
0,1,15.931474198403498,1,3,20,2.6982632656535417,3.9085435498153407
0,1,16.09452203105828,2,3,20,3.411033470788261,4.624341460839826
0,1,16.29381239179423,1,1,20,1.8604619887565623,4.6161543298651395
0,1,16.506799408634517,3,2,20,1.2837681719850291,4.079174397117841
0,1,16.72158532142676,1,2,21,2.121209941686241,3.7265629367167095
0,1,16.885046896314584,2,4,21,3.476638469914618,4.5138548264092435
0,1,17.43867397224152,2,1,21,2.6725455219709486,3.9269281797025797
0,1,17.562334568948852,1,4,20,3.412607099394377,4.683616679386932
0,1,17.941618479400606,1,2,21,2.205172839018596,3.3875051166626813
0,1,18.473615081612692,3,2,22,3.0886991188399526,3.2499489614817954
0,1,18.474627839585477,1,3,21,2.720498918292849,4.717936657666764
0,1,19.531337041530964,2,5,22,1.1001519505995807,3.56972795984023
0,1,21.200224060294314,3,3,21,3.8410095208238513,4.410639633431479
0,1,21.90938943757873,2,3,20,1.5517037747281202,4.62290923815176
0,1,22.28046984258476,3,2,19,1.3026522160434864,4.668610264786134
0,1,22.285119946349372,1,3,20,1.478094761442465,3.5481693598860744
0,1,22.99566039681313,2,3,20,1.0567530544549908,3.277967889590649
0,1,23.388701707439218,1,3,21,3.8937075551169387,3.0867436853097723
0,1,23.538921259431117,1,2,20,2.486707671199932,4.513793960036363
0,1,23.62567192509008,2,5,21,3.2478130990278995,4.487556645587364
0,1,23.712426239545334,1,2,20,3.438646846501432,3.2752554432213765
0,1,23.792155972300943,1,3,21,1.7382063490962611,3.1202597940297556
0,1,24.995489176747032,3,2,19,3.4545944766004673,4.534637522375628
0,1,25.076590919821808,1,1,19,2.8708378450569496,4.238145228389698
0,1,25.43439437287854,2,2,20,1.9854725168499177,3.826363253450867
0,1,25.90015708885636,4,3,19,3.0351988750316368,4.1653812972872535
0,1,26.23641778169566,1,4,20,2.731298023359107,4.3368676460061835
0,1,26.291611758882677,1,2,20,3.396860381498304,3.1789675933957486
0,1,26.59436388741158,2,2,19,2.987743654875763,4.021435668425373
0,1,26.62920635534435,3,1,20,1.6629807785170847,3.0220838533530117
0,1,26.70168413354754,3,1,20,1.8069453875069645,4.738190514778083
0,1,27.70668456162837,3,2,21,3.47340817849784,3.576768869343113
0,1,27.943265891790197,1,3,21,1.0795118548644798,3.1327232665499
0,1,28.50696501287014,1,3,21,3.087478681303217,4.214973594457791
0,1,28.617811564005823,2,3,21,1.9292545144433058,4.063776008547003
0,1,28.637217753250084,2,3,21,1.430768145543682,3.485887544018179
0,1,28.732972949400253,2,1,21,1.746150504271602,3.020164482876341
0,1,29.360427888136513,1,2,18,1.5588386331303985,3.4402440336493885
0,1,29.977346335756305,1,2,19,2.97199604439907,4.485936733491037
0,1,30.40313350431285,2,1,20,3.1875767871732195,4.275918595687367
0,1,30.417513705929906,2,1,20,2.9842829846780443,3.1515332233367195
0,1,30.685585411594577,1,4,22,3.891059852739046,4.863823880586253
0,1,31.07705016127786,2,2,21,3.3329512077939376,3.1606010930967097
0,1,32.30694271522367,2,2,18,1.7325954529883103,4.090083484389918
0,1,32.698260207734705,1,3,19,3.178329477566346,4.595224847708473
0,1,33.386040304091836,3,1,21,2.377719620077795,4.040605718838472
